Open Time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1647928800000,42865.94000000,42887.84000000,42176.25000000,42471.15000000,785.32990000,1647929699999,33390390.55184220,19687,296.99407000,12614725.50574540,0
1647929700000,42471.15000000,42508.16000000,42120.68000000,42217.69000000,318.62575000,1647930599999,13474834.31926490,8687,123.66738000,5229485.20098250,0
1647930600000,42221.49000000,42350.00000000,42157.69000000,42193.52000000,170.96573000,1647931499999,7223186.34854620,4410,101.78845000,4299960.70548050,0
1647931500000,42192.75000000,42255.84000000,42014.64000000,42255.83000000,262.48519000,1647932399999,11055800.21950670,7460,137.56044000,5795276.84535030,0
1647932400000,42255.84000000,42309.80000000,42227.80000000,42284.83000000,139.49272000,1647933299999,5895939.59610030,3937,68.12292000,2879392.52906060,0
1647933300000,42284.83000000,42399.98000000,42200.00000000,42234.48000000,238.48057000,1647934199999,10081088.30389970,5513,101.59519000,4296187.62544110,0
1647934200000,42234.48000000,42322.90000000,42234.48000000,42283.98000000,131.30948000,1647935099999,5551234.92454380,3379,58.89558000,2489770.84723830,0
1647935100000,42283.99000000,42319.89000000,42232.56000000,42234.61000000,142.97458000,1647935999999,6044526.74081680,3379,51.24529000,2166198.66134010,0
1647936000000,42234.62000000,42464.26000000,42100.83000000,42460.39000000,371.33813000,1647936899999,15709961.49250560,8050,141.20694000,5977247.14369030,0
1647936900000,42460.39000000,42520.00000000,42345.60000000,42448.65000000,193.19414000,1647937799999,8197048.81652910,4887,77.79083000,3301115.39256530,0
1647937800000,42450.00000000,42546.97000000,42442.55000000,42536.01000000,138.89211000,1647938699999,5902166.23601580,3951,81.45850000,3461493.56716450,0
1647938700000,42536.01000000,42702.41000000,42500.00000000,42568.40000000,208.02154000,1647939599999,8860099.84771590,6236,104.68066000,4459407.33523360,0
1647939600000,42568.42000000,42618.15000000,42470.01000000,42579.99000000,143.39265000,1647940499999,6101023.78155420,3817,58.30784000,2480945.99404870,0
1647940500000,42579.99000000,42588.44000000,42435.09000000,42461.55000000,111.12572000,1647941399999,4724034.38518270,3416,36.64063000,1557380.68897240,0
1647941400000,42460.01000000,42527.21000000,42414.01000000,42521.00000000,127.82193000,1647942299999,5433307.79072440,3113,86.41030000,3673565.63028220,0
1647942300000,42521.00000000,42562.14000000,42473.12000000,42478.01000000,131.75606000,1647943199999,5601370.34223330,3051,78.05069000,3318368.32322710,0
1647943200000,42478.01000000,42588.92000000,42470.00000000,42580.83000000,94.34552000,1647944099999,4010793.33631290,2861,41.70585000,1773030.42838080,0
1647944100000,42580.82000000,42800.00000000,42575.00000000,42709.58000000,285.72343000,1647944999999,12190177.63036980,6461,145.66218000,6215466.93478050,0
1647945000000,42709.57000000,42866.92000000,42703.38000000,42849.99000000,203.28726000,1647945899999,8700743.22585180,6039,107.99188000,4622281.14529870,0
1647945900000,42850.00000000,42940.00000000,42801.43000000,42853.50000000,177.64311000,1647946799999,7616585.65884000,5212,80.37365000,3446240.52586240,0
1647946800000,42853.50000000,43000.00000000,42782.80000000,42941.68000000,143.21189000,1647947699999,6145552.58262820,5039,67.51302000,2897217.93739540,0
1647947700000,42941.68000000,42990.00000000,42892.71000000,42979.77000000,122.96073000,1647948599999,5280701.76511640,4040,58.48672000,2511618.07752440,0
1647948600000,42979.77000000,43043.97000000,42806.00000000,42957.63000000,183.95586000,1647949499999,7891984.99989940,5831,103.48643000,4440580.19979730,0
1647949500000,42957.99000000,43006.56000000,42911.56000000,42999.00000000,146.71553000,1647950399999,6304126.52471540,4632,71.34980000,3065697.24632390,0
1647950400000,42999.00000000,43100.00000000,42891.02000000,42934.71000000,221.52145000,1647951299999,9520897.83488630,6269,109.32852000,4699516.54171570,0
1647951300000,42933.70000000,42933.70000000,42834.41000000,42915.91000000,112.35972000,1647952199999,4817052.49652400,4303,50.11364000,2148449.37380450,0
1647952200000,42915.91000000,42928.78000000,42784.37000000,42893.83000000,94.89478000,1647953099999,4065736.78914970,3585,35.75787000,1532274.70320420,0
1647953100000,42893.92000000,42976.00000000,42845.74000000,42969.99000000,74.22525000,1647953999999,3185476.96387890,3340,42.48441000,1823293.65572440,0
1647954000000,42971.79000000,42998.20000000,42836.17000000,42880.00000000,91.63999000,1647954899999,3933905.36850540,3067,39.71394000,1705034.43282440,0
1647954900000,42880.01000000,42920.00000000,42821.22000000,42832.47000000,69.81332000,1647955799999,2992898.09691820,2494,29.66991000,1272003.85820410,0
1647955800000,42832.48000000,43045.00000000,42809.14000000,42961.65000000,271.84658000,1647956699999,11667804.05997130,6248,163.97343000,7036167.46370610,0
1647956700000,42961.65000000,42978.17000000,42686.65000000,42846.26000000,249.91638000,1647957599999,10696351.39768590,7304,110.47888000,4728500.55426570,0
1647957600000,42846.27000000,42989.17000000,42846.27000000,42912.71000000,113.86059000,1647958499999,4887464.74586360,4390,68.27264000,2930649.27724990,0
1647958500000,42912.71000000,43041.46000000,42902.80000000,42968.74000000,210.86656000,1647959399999,9058311.01773910,5219,147.40628000,6331838.62893400,0
1647959400000,42968.73000000,43222.22000000,42850.00000000,42902.03000000,382.05768000,1647960299999,16442455.13940820,10900,168.86569000,7269350.54389390,0
1647960300000,42902.02000000,42967.43000000,42758.44000000,42785.59000000,201.47100000,1647961199999,8633631.56742560,5281,70.63144000,3026994.22638320,0
1647961200000,42785.58000000,42812.95000000,42697.62000000,42718.00000000,256.10000000,1647962099999,10947701.83690410,5996,103.12364000,4408240.64407360,0
1647962100000,42718.01000000,42800.00000000,42671.60000000,42721.18000000,114.62952000,1647962999999,4899365.35714880,3907,40.57572000,1734484.42953290,0
1647963000000,42721.20000000,42736.92000000,42608.73000000,42681.73000000,96.71542000,1647963899999,4127624.58340630,4268,45.16283000,1927486.33351420,0
1647963900000,42681.73000000,42699.99000000,42581.30000000,42597.60000000,135.92365000,1647964799999,5797257.49944940,3661,51.23666000,2185187.53749870,0
1647964800000,42595.54000000,42713.00000000,42570.00000000,42661.51000000,109.09020000,1647965699999,4653091.39856390,3540,55.98275000,2388374.37504260,0
1647965700000,42662.66000000,42693.87000000,42528.72000000,42555.01000000,133.34028000,1647966599999,5679088.29920000,4232,51.46455000,2191886.39971900,0
1647966600000,42555.01000000,42630.18000000,42492.15000000,42566.16000000,149.71567000,1647967499999,6371036.94761780,4471,70.81189000,3013450.62254650,0
1647967500000,42564.30000000,42573.18000000,42475.53000000,42533.85000000,117.43128000,1647968399999,4994737.46479880,3555,58.86730000,2503959.03989570,0
1647968400000,42533.85000000,42645.00000000,42500.01000000,42619.99000000,76.28180000,1647969299999,3248716.34762730,3112,35.61323000,1516686.61134380,0
1647969300000,42619.99000000,42649.24000000,42571.78000000,42622.65000000,63.00303000,1647970199999,2684755.04405310,2450,29.62729000,1262533.77082910,0
1647970200000,42623.15000000,42631.24000000,42550.00000000,42608.18000000,57.04001000,1647971099999,2429721.05656990,2148,25.75557000,1097066.54353900,0
