kline,1647923362290,ETHUSDT,1647923340000,1647923399999,1m,786770773,786772910,3044.94000000,3040.92000000,3046.01000000,3039.63000000,951.29580000,2138,False,2895164.29430000,350.11990000,1065485.84060200
kline,1647923364293,ETHUSDT,1647923340000,1647923399999,1m,786770773,786773289,3044.94000000,3038.34000000,3046.01000000,3034.11000000,1226.98560000,2517,False,3732600.66859300,463.04760000,1408570.73029900
kline,1647923366293,ETHUSDT,1647923340000,1647923399999,1m,786770773,786773544,3044.94000000,3037.54000000,3046.01000000,3034.11000000,1303.38360000,2772,False,3964736.84281800,476.08820000,1448187.76846900
kline,1647923368294,ETHUSDT,1647923340000,1647923399999,1m,786770773,786773740,3044.94000000,3038.32000000,3046.01000000,3034.11000000,1344.89670000,2968,False,4090858.98064500,500.94840000,1523714.19817300
kline,1647923370302,ETHUSDT,1647923340000,1647923399999,1m,786770773,786773858,3044.94000000,3037.67000000,3046.01000000,3034.11000000,1398.85030000,3086,False,4254750.95199300,539.35670000,1640382.12126400
kline,1647923372305,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774058,3044.94000000,3037.20000000,3046.01000000,3034.11000000,1626.18000000,3286,False,4945010.32110200,622.54420000,1892898.72995900
kline,1647923374329,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774177,3044.94000000,3038.38000000,3046.01000000,3034.11000000,1665.24450000,3405,False,5063671.43092600,658.39870000,2001808.56975500
kline,1647923376329,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774395,3044.94000000,3036.88000000,3046.01000000,3034.11000000,1725.82030000,3623,False,5247678.40805900,682.65210000,2075478.44640900
kline,1647923378330,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774521,3044.94000000,3037.53000000,3046.01000000,3034.11000000,1747.87380000,3749,False,5314665.65843700,695.13990000,2113409.18497400
kline,1647923380428,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774581,3044.94000000,3038.00000000,3046.01000000,3034.11000000,1765.47800000,3809,False,5368149.46210800,705.44930000,2144729.89407400
kline,1647923382469,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774678,3044.94000000,3038.35000000,3046.01000000,3034.11000000,1816.34840000,3906,False,5522727.75381600,722.61100000,2196871.16425600
kline,1647923384476,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774794,3044.94000000,3038.73000000,3046.01000000,3034.11000000,1843.78070000,4022,False,5606078.68763500,738.70520000,2245772.47540800
kline,1647923386492,ETHUSDT,1647923340000,1647923399999,1m,786770773,786774901,3044.94000000,3037.43000000,3046.01000000,3034.11000000,1885.41440000,4129,False,5732567.46347600,754.70830000,2294394.26293100
kline,1647923388528,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775000,3044.94000000,3037.89000000,3046.01000000,3034.11000000,1912.71770000,4228,False,5815500.98146800,771.45120000,2345251.00429600
kline,1647923390584,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775103,3044.94000000,3038.25000000,3046.01000000,3034.11000000,1940.50710000,4331,False,5899930.97085000,782.97320000,2380255.47392000
kline,1647923392594,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775191,3044.94000000,3037.91000000,3046.01000000,3034.11000000,1967.87030000,4419,False,5983063.09350700,798.75870000,2428212.19462400
kline,1647923394594,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775251,3044.94000000,3037.91000000,3046.01000000,3034.11000000,1985.82420000,4479,False,6037607.33047400,815.97550000,2480517.10613800
kline,1647923397046,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775283,3044.94000000,3037.91000000,3046.01000000,3034.11000000,2013.09160000,4511,False,6120443.32079000,836.17660000,2541886.31910800
kline,1647923399060,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775362,3044.94000000,3037.01000000,3046.01000000,3034.11000000,2040.12820000,4590,False,6202561.01004900,847.06920000,2574971.23418500
kline,1647923400002,ETHUSDT,1647923340000,1647923399999,1m,786770773,786775387,3044.94000000,3036.88000000,3046.01000000,3034.11000000,2042.96260000,4615,True,6211169.29838900,849.23540000,2581550.09125700
kline,1647923402003,ETHUSDT,1647923400000,1647923459999,1m,786775388,786775620,3037.01000000,3035.27000000,3037.01000000,3035.27000000,81.75190000,233,False,248202.10244600,19.78350000,60064.33291200
kline,1647923404015,ETHUSDT,1647923400000,1647923459999,1m,786775388,786775916,3037.01000000,3035.92000000,3037.01000000,3033.98000000,210.07820000,529,False,637721.15135400,70.87310000,215155.27686400
